word,count
WERD,908
OF,866
ZICH,669
VEEL,641
HUN,601
POLITIE,524
ZOU,496
NIEUWE,452
'S,421
HAD,420
ZEI,400
WAAR,396
MOETEN,393
WAREN,381
STAAT,353
MAKEN,351
TOEN,345
HAAR,345
WEER,341
GROTE,330
KOMEN,324
TUSSEN,320
LAND,317
WERDEN,315
PROCENT,315
AFGELOPEN,308
ALLEEN,307
ZIEN,304
ALLE,303
ONDERZOEK,303
HOE,302
ZAL,301
WIL,296
ZO'N,295
EERSTE,286
VANDAAG,283
ZIJ,283
EUROPESE,277
HEM,276
AANTAL,275
UNIVERSITEIT,273
ISRAËL,272
EERDER,271
EURO,267
KOMT,263
AF,258
DOEN,258
MOGELIJK,254
WEEK,250
UUR,250
TIJD,249
SINDS,242
KRIJGEN,241
GOED,238
DUS,236
ZOALS,235
JAREN,233
DRIE,230
MAN,227
WILLEN,225
PREMIER,223
HEEL,220
NEDERLANDSE,220
VOORAL,219
VANWEGE,219
HIER,219
KWAM,219
ROND,218
PRESIDENT,214
WETEN,212
PARTIJEN,211
STEEDS,211
VORIG,210
TIJDENS,209
VERDER,207
BIJVOORBEELD,206
MINDER,204
TOE,200
ZELF,198
WET,196
MINISTER,195
ZEGGEN,192
STAAN,192
DAG,192
MEE,191
VIER,191
LANDEN,190
AMSTERDAM,187
RUSLAND,187
DAGEN,186
PER,186
MILJOEN,186
KEER,185
TWEEDE,183
STAD,182
KLEIN,180
BEKEND,180
OMROEP,179
PARTIJ,178
BINNEN,178
DEMONSTRANTEN,178
WOORDVOERDER,176
LATEN,175
MEERDERE,175
VERSCHILLENDE,175
RUSSISCHE,170
VERKIEZINGEN,170
OEKRAÏNE,168
MEDIA,167
RUIM,166
EIGEN,166
MINISTERIE,166
ZULLEN,165
GISTEREN,164
ZOUDEN,164
REGERING,164
BEDRIJF,163
WEG,163
-JARIGE,163
NODIG,162
MOMENT,160
HOUDEN,159
MELDT,158
TOCH,158
GEMAAKT,158
LEVEN,157
ALDUS,156
VORIGE,155
DEEL,155
GEMEENTE,154
ALTIJD,153
VIJF,152
BLIJVEN,152
VIA,152
WIE,152
SCHRIJFT,151
GROOT,151
MAAND,151
MAANDEN,151
ONZE,150
STUDENTEN,149
ONS,149
ELKAAR,148
DAARBIJ,147
LATER,147
LAAT,146
AMERIKAANSE,146
ZAKEN,146
DUIDELIJK,145
GELD,145
KABINET,144
HADDEN,144
CHINA,143
MAG,142
PLASTERK,139
DAAROM,138
LAATSTE,138
GROEP,138
GING,136
VAAK,136
GELEDEN,135
EIND,135
ENKELE,134
DAARNA,133
ZEKER,133
BIJNA,132
VINDT,132
SITUATIE,132
BLIJKT,131
EERST,131
OORLOG,131
DEN,130
AUTO,128
VINDEN,128
ZIET,127
GEWELD,127
ÉÉN,127
GEBIED,127
ZONDER,126
GEVEN,126
NADAT,125
ECHT,125
IETS,124
JUIST,124
WEKEN,124
WATER,124
HEN,124
DER,124
ZITTEN,124
BEGIN,123
WIJ,123
TERWIJL,122
KINDEREN,122
TEN,121
WAARIN,121
TERUG,120
GEBRUIKT,120
ISRAËLISCHE,120
KWAMEN,120
KAMER,119
